Id,Price
4567,158775.64
5925,134704.47
960,145982.14
3848,123659.4
746,181698.67
868,362600.84
672,116854.99
2471,204609.61
4510,131415.28
8354,263803.25
6393,177964.05
13270,242674.03
5250,245837.67
16751,178911.8
11404,130935.26
10588,323688.53
14925,199355.19
6791,230299.3
16097,220972.16
16428,358201.88
6945,326754.6
3190,190217.34
15709,424235.06
13155,148752.16
7675,207972.72
14686,241845.28
609,159233.33
11155,151556.36
10869,197078.0
15742,183832.73
9245,199936.0
3340,173978.88
2359,292165.5
8070,205628.62
13707,131913.45
16079,249811.23
15937,271027.94
14090,192188.72
9008,226244.17
16384,166801.69
11657,253799.9
13151,151363.4
8990,183407.83
11857,183857.62
1565,142755.69
8174,93906.37
9247,232630.55
10478,222608.19
15509,146663.17
8306,202606.08
6642,191648.69
7472,219562.3
15989,135218.78
13682,131806.42
163,280339.22
7076,189610.6
7478,374934.22
3029,195165.48
1814,139511.7
10057,128297.69
15100,181220.6
12694,204982.34
6291,182021.8
12603,171579.73
3218,249059.97
13456,127389.586
10170,252235.98
4530,152350.52
13329,163175.78
4820,156610.33
10896,169768.52
13416,118374.84
2701,227448.69
11265,359188.84
9189,266452.44
1858,201130.12
14536,243392.88
6199,296011.2
14730,159866.39
7510,252176.98
15505,154976.73
7446,196363.9
14016,182795.77
14113,117729.1
8721,292240.4
6193,296671.47
5717,171285.05
5427,310833.22
9520,568162.25
6869,100895.42
1658,149809.64
6639,195139.16
6283,188906.61
6257,129129.67
15235,191821.11
902,231067.06
8932,185665.12
16469,368458.72
2825,266399.88
6450,453221.8
11366,176740.83
3801,346866.1
11385,219797.67
1079,200926.88
3202,239541.52
676,225298.95
6185,280804.38
7730,163076.28
2573,184783.98
10978,207741.7
10962,269006.25
8870,202864.67
8496,178257.77
5517,159379.69
927,190853.92
13675,202540.62
1499,225857.31
15536,328059.8
8602,335001.2
12137,443212.78
9865,252949.61
16353,293286.53
15908,224585.77
3944,174413.44
10359,203862.56
15158,222160.83
3259,241704.48
7220,309996.75
13843,208317.42
16736,187163.3
702,254432.27
16401,146823.61
12134,179636.34
6918,235908.64
11792,132505.56
3798,135112.84
10395,133124.67
11099,138638.94
7090,196663.52
11260,190821.34
9647,220708.44
2903,383767.78
2071,183383.95
8604,188894.11
9346,220454.05
3945,215751.89
3420,125793.984
10842,126486.38
725,158942.28
13931,201166.98
16330,236644.97
9066,418977.4
3326,275007.56
1556,290083.34
6579,101872.87
13877,147508.67
9857,336451.0
7302,252306.28
5684,187764.78
6513,240781.23
11342,121666.0
16561,227170.03
6885,169970.81
9308,180296.81
2559,175268.77
6648,186185.89
15260,175672.62
5113,194322.6
16492,180081.8
12034,293375.56
7248,217335.94
2171,203979.61
10594,152804.52
13241,199260.77
7032,148482.89
4884,165944.52
903,246791.44
162,167986.62
6566,241476.06
8249,142410.67
13106,176761.4
256,130404.086
7976,166314.58
8575,176108.56
7591,303985.78
3204,243758.75
15804,191815.17
1525,291447.94
9038,210887.97
13628,199658.16
10016,203470.45
10208,229082.75
2008,195372.11
13029,203198.08
5099,125891.45
9923,289512.4
9461,128640.37
11086,161100.11
15057,252183.4
10689,177853.56
2053,228828.94
16630,165945.33
4985,163171.66
13881,238996.89
13225,172955.77
5779,67301.04
10262,186053.45
10762,200468.0
9513,195590.97
11128,165850.6
2074,327786.3
933,189523.12
2780,180135.6
6594,116373.23
15394,243400.14
14863,134161.31
6698,196247.38
1611,286652.9
174,187371.84
5160,195545.62
3295,307431.8
4559,364764.6
8254,165662.38
10228,98847.98
13924,129636.734
15341,246481.16
4353,180048.27
4334,72018.71
1872,161358.81
7823,180378.4
310,156689.34
3704,253894.08
11615,282157.56
6605,208039.77
3381,190560.08
2143,141870.3
3191,248552.61
13980,144829.11
15613,155237.62
10943,260965.17
9654,127833.875
16053,447591.38
14931,213911.98
8299,229252.89
2147,163849.62
11567,376457.97
5905,134701.44
11160,113278.14
8275,147048.17
16398,273396.84
11229,182777.3
10309,167179.61
7340,262422.3
7653,165468.97
272,211296.23
9831,200461.2
5016,127660.97
5968,71787.53
796,227288.67
12123,124423.625
16629,193172.77
2637,166339.97
6194,220400.5
6216,473965.25
14346,167132.11
6428,144014.06
2891,231861.5
84,181753.28
9260,216603.6
15250,138914.02
2348,210306.78
10427,265914.53
13230,250710.81
1691,190527.62
8803,126073.086
5464,226911.78
10559,107956.58
16787,306768.7
4278,153116.17
6183,165861.48
12775,163819.17
10104,176271.58
13663,172682.62
9404,252669.05
14724,226957.28
10040,185346.5
4646,195569.3
4754,153188.72
3310,213662.8
2003,191199.56
7312,267738.72
10921,237255.66
13419,282840.94
10105,166742.4
2196,375775.12
12659,231536.05
4380,233839.17
10847,141932.89
10805,282340.5
8709,100820.78
8319,194937.12
2215,177956.03
7000,192064.27
7701,106637.74
9678,192871.23
14026,160122.89
7971,170533.3
13734,152041.9
16483,202891.88
6150,209802.5
2931,278507.44
5418,184079.8
1662,549216.4
2441,217371.06
669,138501.53
7734,185206.64
6010,284838.94
266,141450.48
632,139008.22
16221,108804.57
